Year,Athlete,Country/State,Time,Notes
1966,"Gibb, RobertaBobbi Gibb",United States United States (MA),3:21:40,(unsanctioned)
1967,"Gibb, RobertaBobbi Gibb",United States United States (CA),3:27:17,(unsanctioned) 2nd victory
1968,"Gibb, RobertaBobbi Gibb",United States United States (CA),3:30:00,(unsanctioned) 3rd victory
1969,"Berman, Sara MaeSara Mae Berman",United States United States (MA),3:22:46,(unsanctioned)
1970,"Berman, Sara MaeSara Mae Berman",United States United States (MA),3:05:07,(unsanctioned) 2nd victory
1971,"Berman, Sara MaeSara Mae Berman",United States United States (MA),3:08:30,(unsanctioned) 3rd victory
1972,"Kuscsik, NinaNina Kuscsik",United States United States (NY),3:10:26,first year that women were officially sanctioned
1973,"Hansen, JacquelineJacqueline Hansen",United States United States (CA),3:05:59,
1974,"Gorman, MikiMiki Gorman",United States United States (CA),2:47:11,
1975,"Winter, LianeLiane Winter",West Germany,2:42:24,
1976,"Merritt, KimKim Merritt",United States United States (WI),2:47:10,
1977,"Gorman, MikiMiki Gorman",United States United States (CA),2:48:33,2nd victory
1978,"Barron, Gayle S.Gayle Barron",United States United States (GA),2:44:52,
1979,"Benoit, JoanJoan Benoit",United States United States (ME),2:35:15,
1980,"Gareau, JacquelineJacqueline Gareau",Canada,2:34:28,
1981,"Roe, AllisonAllison Roe",New Zealand,2:26:46,
1982,"Teske, CharlotteCharlotte Teske",West Germany,2:29:33,
1983,"Benoit, JoanJoan Benoit",United States United States (ME),2:22:43,2nd victory
1984,"Moller, LorraineLorraine Moller",New Zealand,2:29:28,
1985,"Weidenbach, Lisa LarsenLisa Larsen Weidenbach",United States United States (MI),2:34:06,
1986,"Kristiansen, IngridIngrid Kristiansen",Norway,2:24:55,
1987,"Mota, RosaRosa Mota",Portugal,2:25:21,
1988,"Mota, RosaRosa Mota",Portugal,2:24:30,2nd victory
1989,"Kristiansen, IngridIngrid Kristiansen",Norway,2:24:33,2nd victory
1990,"Mota, RosaRosa Mota",Portugal,2:25:24,3rd victory
1991,"Panfil, WandaWanda Panfil",Poland,2:24:18,
1992,"Markova, OlgaOlga Markova",Russia,2:23:43,
1993,"Markova, OlgaOlga Markova",Russia,2:25:27,2nd victory
1994,"Pippig, UtaUta Pippig",Germany,2:21:45,
1995,"Pippig, UtaUta Pippig",Germany,2:25:11,2nd victory
1996,"Pippig, UtaUta Pippig",Germany,2:27:12,3rd victory
1997,"Roba, FatumaFatuma Roba",Ethiopia,2:26:23,
1998,"Roba, FatumaFatuma Roba",Ethiopia,2:23:21,2nd victory
1999,"Roba, FatumaFatuma Roba",Ethiopia,2:23:25,3rd victory
2000,"Ndereba, CatherineCatherine Ndereba",Kenya,2:26:11,
2001,"Ndereba, CatherineCatherine Ndereba",Kenya,2:23:53,2nd victory
2002,"Okayo, MargaretMargaret Okayo",Kenya,2:20:43,
2003,"Zakharova, SvetlanaSvetlana Zakharova",Russia,2:25:19,
2004,"Ndereba, CatherineCatherine Ndereba",Kenya,2:24:27,3rd victory
2005,"Ndereba, CatherineCatherine Ndereba",Kenya,2:25:12,4th victory
2006,"Jeptoo, RitaRita Jeptoo",Kenya,2:23:38,
2007,"Grigoryeva, LidiyaLidiya Grigoryeva",Russia,2:29:18,
2008,"Tune, DireDire Tune",Ethiopia,2:25:25,2 seconds ahead of 2nd-place finisher
2009,"Kosgei, SalinaSalina Kosgei",Kenya,2:32:16,1 second ahead of 2nd-place finisher
2010,"Erkesso, TeybaTeyba Erkesso",Ethiopia,2:26:11,3 seconds ahead of 2nd-place finisher
2011,"Kilel, CarolineCaroline Kilel",Kenya,2:22:36,2 seconds ahead of 2nd-place finisher
2012,"Cherop, SharonSharon Cherop",Kenya,2:31:50,2 seconds ahead of 2nd-place finisher
2013,"Jeptoo, RitaRita Jeptoo",Kenya,2:26:25,2nd victory
2014,"Jeptoo, RitaRita Jeptoo",Kenya,2:18:57,"Course record, later disqualified"
2014,"Deba, BizuneshBizunesh Deba",Ethiopia,2:19:59,
2015,"Rotich, CarolineCaroline Rotich",Kenya,2:24:55,
2016,"Baysa, AtsedeAtsede Baysa",Ethiopia,2:29:19,
2017,"Kiplagat, EdnaEdna Kiplagat",Kenya,2:21:52,
